iter	Passed	Remaining
1035	56398	2665518
1036	56451	2665437
1037	56505	2665326
1038	56562	2665419
1039	56616	2665343
1040	56670	2665234
1041	56725	2665217
1042	56779	2665146
1043	56833	2665075
1044	56886	2664952
1045	56941	2664916
1046	56996	2664902
1047	57049	2664757
1048	57100	2664550
1049	57158	2664656
1050	57215	2664747
1051	57270	2664714
1052	57325	2664671
1053	57378	2664568
1054	57432	2664507
1055	57487	2664458
1056	57542	2664448
1057	57597	2664404
1058	57650	2664299
1059	57703	2664165
1060	57757	2664107
1061	57811	2663988
1062	57864	2663890
1063	57917	2663788
1064	57966	2663444
1065	58019	2663363
1066	58074	2663300
1067	58128	2663233
1068	58181	2663109
1069	58233	2662966
1070	58281	2662606
1071	58333	2662462
1072	58387	2662370
1073	58441	2662299
1074	58500	2662432
1075	58547	2662045
1076	58602	2662012
1077	58656	2661945
1078	58709	2661844
1079	58754	2661375
1080	58809	2661344
1081	58864	2661287
1082	58918	2661220
1083	58973	2661215
1084	59029	2661205
1085	59082	2661124
1086	59135	2660989
1087	59189	2660899
1088	59242	2660810
1089	59297	2660762
1090	59351	2660682
1091	59406	2660667
1092	59460	2660579
1093	59513	2660493
1094	59568	2660452
1095	59622	2660388
1096	59675	2660286
1097	59728	2660145
1098	59782	2660094
1099	59837	2660044
1100	59892	2660028
1101	59945	2659922
1102	60000	2659869
1103	60060	2660073
1104	60114	2659979
1105	60168	2659910
1106	60223	2659897
1107	60277	2659840
1108	60331	2659732
1109	60385	2659661
1110	60439	2659616
1111	60497	2659723
1112	60552	2659665
1113	60605	2659568
1114	60661	2659568
1115	60716	2659556
1116	60772	2659559
1117	60825	2659454
1118	60883	2659572
1119	60942	2659714
1120	60997	2659656
1121	61052	2659628
1122	61106	2659566
1123	61161	2659530
1124	61216	2659524
1125	61271	2659498
1126	61322	2659268
1127	61376	2659219
1128	61434	2659307
1129	61487	2659215
1130	61542	2659157
1131	61598	2659176
1132	61652	2659124
1133	61711	2659273
1134	61764	2659149
1135	61818	2659071
1136	61873	2659021
1137	61926	2658925
1138	61980	2658865
1139	62036	2658864
1140	62090	2658788
1141	62145	2658743
1142	62201	2658774
1143	62255	2658687
